x,y,z
-0.021992 ,  -0.132955 ,  1.023650
-0.007997 ,  -0.128956 ,  1.027649
0.003999 ,  -0.132955 ,  1.029648
0.007997 ,  -0.127956 ,  1.064636
0.005998 ,  -0.140952 ,  1.058638
0.003999 ,  -0.134954 ,  1.053640
0.014995 ,  -0.127956 ,  1.058638
0.007997 ,  -0.126957 ,  1.061637
0.005998 ,  -0.129956 ,  1.054640
0.004998 ,  -0.133954 ,  1.049641
-0.002999 ,  -0.131955 ,  1.068635
0.001000 ,  -0.131955 ,  1.053640
0.001999 ,  -0.132955 ,  1.044643
-0.009997 ,  -0.126957 ,  1.015653
0.000000 ,  -0.129956 ,  1.027649
0.001999 ,  -0.129956 ,  1.033647
0.026991 ,  -0.129956 ,  1.053640
0.012996 ,  -0.133954 ,  1.047642
0.009997 ,  -0.135954 ,  1.047642
0.006998 ,  -0.136953 ,  1.006656
0.002999 ,  -0.132955 ,  1.024650
0.003999 ,  -0.133954 ,  1.035646
0.014995 ,  -0.138953 ,  1.037646
0.001999 ,  -0.141952 ,  1.029648
0.005998 ,  -0.139952 ,  1.036646
0.007997 ,  -0.132955 ,  1.038645
0.003999 ,  -0.131955 ,  1.083630
0.003999 ,  -0.134954 ,  1.066636
0.004998 ,  -0.136953 ,  1.053640
-0.007997 ,  -0.136953 ,  1.038645
-0.002999 ,  -0.133954 ,  1.043643
0.002999 ,  -0.132955 ,  1.038645
0.008997 ,  -0.141952 ,  1.072633
0.003999 ,  -0.135954 ,  1.056639
0.003999 ,  -0.131955 ,  1.051641
0.021992 ,  -0.133954 ,  1.052640
0.012996 ,  -0.136953 ,  1.039645
0.010996 ,  -0.135954 ,  1.040645
0.021992 ,  -0.136953 ,  1.030648
0.003999 ,  -0.132955 ,  1.020651
0.004998 ,  -0.131955 ,  1.032647
0.006998 ,  -0.135954 ,  1.036646
0.003999 ,  -0.136953 ,  1.059638
0.004998 ,  -0.130955 ,  1.055639
0.004998 ,  -0.132955 ,  1.049641
-0.009997 ,  -0.131955 ,  1.037646
-0.001999 ,  -0.129956 ,  1.046642
0.000000 ,  -0.130955 ,  1.046642
0.001000 ,  -0.129956 ,  1.058638
0.022992 ,  -0.133954 ,  1.049641
0.009997 ,  -0.134954 ,  1.048642
0.002999 ,  -0.137953 ,  0.984664
0.005998 ,  -0.132955 ,  1.042644
0.005998 ,  -0.130955 ,  1.042644
0.004998 ,  -0.139952 ,  1.027649
0.010996 ,  -0.131955 ,  1.049641
0.006998 ,  -0.128956 ,  1.048642
0.009997 ,  -0.126957 ,  1.046642
-0.007997 ,  -0.134954 ,  1.048642
-0.001000 ,  -0.129956 ,  1.049641
0.005998 ,  -0.130955 ,  1.047642
